"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","webdriveruniversity - contact us page","","2","2","8","0","0"
"","Contact us Page - valid Submission","","0","2","2","0","0"
"","UI Automation","","0","1","8","3","0"
"","add items to basket","","0","0","5","0","0"
"","webdriver university-contact us page","","0","0","6","0","0"
"","UI Automation: Login Tests","","0","0","4","2","0"
"","UI Automation: Dashboard Tests","","0","0","9","4","0"
"","Mathbuddy login page","","0","1","3","0","0"
"","locating elements","","0","0","3","0","0"
"","Contact us Page - invalid Submission","","2","0","2","0","0"
"","advance elements","","0","0","2","0","0"
"","wait commands - examples","","0","0","2","0","0"
